lecture_id,query,question_type,difficulty,expected_route,error,metric_answer_f1,metric_answer_length,metric_answer_similarity,metric_avg_cross_encoder_score,metric_chunk_coverage,metric_citation_completeness,metric_citation_count,metric_citation_coverage,metric_context_length,metric_generation_latency,metric_hit_at_5,metric_keyword_recall,metric_mrr,metric_ndcg_at_5,metric_planner_latency,metric_precision_at_5,metric_ranking_quality,metric_recall_at_5,metric_reranker_latency,metric_retrieval_latency,metric_routing_accuracy,metric_total_latency,metric_visual_routing_accuracy
lecture_cs162_v17,What is the Global Data Plane project?,definition,medium,vector_only,,0.7160493827160495,263,0.5853658536585366,0.06214612468223398,1.0,1.0,15,1.0,3428,1.7141541500004678,1.0,0.75,1.0,1.0,0.0035886590003428864,0.2,1.0,1.0,3.811832326999138,0.17162915600056294,1.0,5.701270405000287,1.0
lecture_cs162_v17,How many devices could the original ARPANET handle?,factual,easy,vector_only,,0.36734693877551017,129,0.24324324324324326,0.06815448875665121,1.0,1.0,15,1.0,3294,0.8327469679998103,1.0,0.3333333333333333,1.0,1.0,0.00019010999949387042,0.2,1.0,1.0,3.390173720000348,0.09830601200064848,1.0,4.321482381000351,1.0
lecture_cs162_v17,What is the main challenge of operating systems that the lecture closes with?,conceptual,medium,vector_only,,0.38461538461538464,395,0.22857142857142856,0.0860136001293237,1.0,1.0,15,1.0,3376,1.0689958570001181,1.0,0.0,0.5,0.6309297535714575,0.00013326399948709877,0.2,1.0,1.0,4.537724755000454,0.09917415500058269,1.0,5.706068423999568,1.0
lecture_cs162_v17,What does the lecture say about how many processes typically run on a laptop?,factual,easy,vector_only,,0.4657534246575342,226,0.3404255319148936,0.08591783925076016,1.0,1.0,15,1.0,3324,10.87843146599971,1.0,0.0,1.0,1.0,0.0001376569998683408,0.2,1.0,1.0,3.656308646999605,0.10398083600011887,1.0,14.638901503999477,1.0
lecture_cs162_v17,What did the lecture say about SSL and security models?,factual,easy,vector_only,,0.3466666666666667,307,0.23404255319148937,0.0067755127534231486,1.0,1.0,15,1.0,3915,19.32007457799955,1.0,1.0,0.5,0.6309297535714575,0.00011226800052099861,0.2,1.0,1.0,3.198642115000439,0.12205736699979752,1.0,22.640927864000332,1.0
lecture_cs162_v17,How many processors does a modern car have according to the lecture?,factual,easy,vector_only,,0.3333333333333333,71,0.20833333333333334,0.12233047289215998,1.0,1.0,15,1.0,3900,17.975474785999722,1.0,1.0,0.5,0.38685280723454163,0.0003539440003805794,0.2,1.0,0.5,4.589635012000144,0.14063566099957825,1.0,22.7062228650002,1.0
lecture_cs162_v17,Which topics will the class cover according to the lecture?,factual,easy,vector_only,,0.2631578947368421,434,0.18181818181818182,0.006651514394131179,1.0,1.0,15,0.6666666666666666,3042,17.768326981000428,1.0,1.0,0.2,0.18154179253735267,0.000107411000499269,0.2,0.25,0.3333333333333333,3.0048036950001915,0.10384131000046182,1.0,20.877121430999978,1.0
lecture_cs162_v17,What did the lecture say about the honor code?,factual,easy,vector_only,,0.46938775510204084,364,0.3181818181818182,0.003506528887616393,1.0,1.0,15,1.0,3671,18.358074545999443,1.0,1.0,1.0,1.0,0.0003256580002926057,0.4,1.0,1.0,3.19148712399965,0.11153878100049042,1.0,21.661559441999998,1.0
lecture_cs162_v17,What is the enrollment limit for CS162?,factual,easy,vector_only,,0.47826086956521735,155,0.3225806451612903,0.11835235810673718,1.0,1.0,15,1.0,3607,17.897717761000422,1.0,0.0,1.0,1.0,0.0003691239999170648,0.2,1.0,1.0,3.636180069999682,0.1339127869996446,1.0,21.668346042999474,1.0
lecture_cs162_v17,What is the challenge of testing software for all environments?,conceptual,medium,vector_only,,0.34782608695652173,289,0.23076923076923078,0.06562734542846253,1.0,1.0,15,1.0,3954,18.457357862000208,1.0,0.0,1.0,1.0,0.00013906399999541463,0.2,1.0,1.0,4.283819348000179,0.12001480200069636,1.0,22.861375905000386,1.0
